X1,X2,Cluster
-4.509870127022954089e-01,5.388927130029340651e-01,1.000000000000000000e+00
1.536388711113463312e-01,-7.230991056174433662e-02,1.000000000000000000e+00
-1.790350229992362652e-01,9.587516105161446589e-01,1.000000000000000000e+00
1.865981227678015442e+00,-4.591262498794960178e-01,2.000000000000000000e+00
4.759793114553464433e-01,1.613750114656508972e+00,2.000000000000000000e+00
9.028039042268589665e-01,-5.746445662481893812e-01,1.000000000000000000e+00
-3.603332648754025147e-01,-5.002963766347918728e-01,1.000000000000000000e+00
-7.642415873591389408e-01,-5.219965015865093427e-01,1.000000000000000000e+00
2.191007451588488086e-01,-4.911437030290901617e-01,1.000000000000000000e+00
7.330814003342018825e-01,1.031229194232827218e-01,1.000000000000000000e+00
-3.322591843557825553e-01,7.413560161519583414e-01,1.000000000000000000e+00
2.668709761709029404e-01,2.216041548179405185e-01,1.000000000000000000e+00
8.701586009672770405e-01,4.796282853740285179e-01,1.000000000000000000e+00
-9.111099415423691561e-02,7.844146597108796470e-01,1.000000000000000000e+00
2.587938406000140357e-01,2.440795626953505604e+00,2.000000000000000000e+00
9.192287504387670616e-01,9.648469023988059945e-01,2.000000000000000000e+00
1.080122548562007179e+00,6.679861127215479255e-02,1.000000000000000000e+00
1.098447109846928393e+00,1.954189130618683504e-02,1.000000000000000000e+00
-6.954095615635168537e-01,-4.718649252583010378e-01,1.000000000000000000e+00
4.417151247965421801e-01,-1.306126609141370132e+00,1.000000000000000000e+00
1.743205607923664080e-01,-6.093814018164946944e-01,1.000000000000000000e+00
6.009029376914080123e-01,-6.242937165576056824e-01,1.000000000000000000e+00
1.566481297095110747e+00,6.424027361748394505e-01,1.000000000000000000e+00
-1.061603570450350809e+00,1.471483644508194244e+00,1.000000000000000000e+00
-1.901330905113612357e-01,-6.086501812610748408e-01,1.000000000000000000e+00
-8.565719631630458464e-01,4.750260621454110432e-01,1.000000000000000000e+00
1.258773304884760913e+00,-4.839467261863514835e-01,1.000000000000000000e+00
-8.346694800031719819e-01,-9.535415058943970124e-01,1.000000000000000000e+00
1.251982507508368370e+00,1.397832354967917468e+00,1.000000000000000000e+00
-2.915518733385712991e-01,4.498763527258000661e-01,1.000000000000000000e+00
-2.430874104627920879e-03,-5.072695031371998037e-02,1.000000000000000000e+00
8.065592010504746279e-01,3.689302592296597183e-01,1.000000000000000000e+00
2.756710843333691763e-01,-2.447890998215323799e-01,1.000000000000000000e+00
6.823802185969047862e-01,-2.359430657939201870e-01,1.000000000000000000e+00
4.176815019149983377e-02,1.836280457657889220e-01,1.000000000000000000e+00
-1.004958922395906340e+00,-2.502408028265873940e-01,1.000000000000000000e+00
-2.615424457076508946e-01,8.467257703501429589e-02,1.000000000000000000e+00
-9.302137533293128868e-01,-9.927403775967034161e-01,1.000000000000000000e+00
1.358285846418259668e+00,9.675501384104705505e-01,2.000000000000000000e+00
7.438236917682186089e-01,1.526752934408257989e+00,2.000000000000000000e+00
3.510585625817863042e-01,-7.620193678086417677e-02,1.000000000000000000e+00
4.034171744784262881e-01,-1.572324304131840877e+00,1.000000000000000000e+00
-9.187222735845812505e-01,6.347213052772581188e-01,1.000000000000000000e+00
2.728807100328663193e-02,-1.068947250009964822e+00,1.000000000000000000e+00
5.509714764328855763e-01,8.357410801516501619e-01,1.000000000000000000e+00
5.587881315326513887e-01,-2.534810428917348701e-02,1.000000000000000000e+00
-6.994891801644281815e-01,9.002038382300200925e-02,1.000000000000000000e+00
3.571905202833393633e-01,-3.000169129694760239e-01,1.000000000000000000e+00
5.045360405676042603e-01,2.630726300365029968e-01,1.000000000000000000e+00
2.787036286363709925e-01,-1.700544793647033703e+00,1.000000000000000000e+00
9.045072922268301285e-01,1.442729622170086046e+00,2.000000000000000000e+00
-3.367285734515215734e-01,-1.235662340786793711e+00,1.000000000000000000e+00
5.345666213391758737e-01,-3.895988840939413334e-01,1.000000000000000000e+00
-8.090605959865081465e-01,1.018814514951647876e+00,1.000000000000000000e+00
-1.157418205757766216e+00,6.002438499498297109e-01,1.000000000000000000e+00
-1.043929262704535121e+00,1.223421169268857023e+00,1.000000000000000000e+00
4.321787999452524343e-01,-2.153521046071426304e-01,1.000000000000000000e+00
1.249718731197953792e-01,4.870092490569640220e-01,1.000000000000000000e+00
6.943394518419939709e-01,6.925799983596587772e-01,1.000000000000000000e+00
4.574273587886191761e-01,-3.994061541904592727e-01,1.000000000000000000e+00
5.556088118549888932e-01,-1.097132692246842955e+00,1.000000000000000000e+00
8.400845635385657539e-01,7.304090870128152613e-01,2.000000000000000000e+00
1.166371882009061389e+00,-4.926083617563369321e-01,2.000000000000000000e+00
1.557958845825338501e-01,7.180935882719335916e-01,1.000000000000000000e+00
2.659389815637585031e-01,-3.569754611848339199e-01,1.000000000000000000e+00
2.571316187103374062e-01,5.691968393084109040e-02,1.000000000000000000e+00
8.330656860405963871e-01,-5.258094960634960291e-01,1.000000000000000000e+00
2.840358764153441129e-01,2.450837633845632524e-01,1.000000000000000000e+00
6.336261685693822532e-01,-6.098602781309651194e-02,1.000000000000000000e+00
1.065190663759197215e-01,-5.936075688513628434e-02,1.000000000000000000e+00
2.850154546821181967e-02,6.993777334478335286e-03,1.000000000000000000e+00
-2.733741050289256180e-01,2.365488720717733084e+00,1.000000000000000000e+00
-7.060670078904535130e-01,-9.817451633671570033e-01,1.000000000000000000e+00
-6.656689829673659853e-01,-5.940725844811153289e-01,1.000000000000000000e+00
9.568521926349425957e-03,1.197204272611499531e+00,1.000000000000000000e+00
1.412603220680304306e+00,1.985598086506281945e-01,1.000000000000000000e+00
-2.090154715800254248e+00,3.215781065420641460e-01,1.000000000000000000e+00
-1.096572283653149293e+00,-4.189169931820335147e-01,1.000000000000000000e+00
-9.619270984329992835e-01,3.561013987508720446e-01,1.000000000000000000e+00
-5.242574012230187819e-01,6.460016698150172765e-01,1.000000000000000000e+00
3.993398356300116303e-01,-2.008566100894140227e-01,1.000000000000000000e+00
6.740164180553798179e-02,7.675684461009838477e-01,1.000000000000000000e+00
-3.113478986110929658e-01,7.660617210318694248e-01,1.000000000000000000e+00
-1.616093066776317505e-02,2.253940800119276500e-01,1.000000000000000000e+00
6.686928884513618776e-01,1.114040036508530562e+00,1.000000000000000000e+00
4.357427481323190022e-01,4.883742198532483453e-02,1.000000000000000000e+00
6.029691133008513448e-01,-1.293014261330668990e+00,1.000000000000000000e+00
1.371253658383123408e+00,-1.108985557527052412e+00,1.000000000000000000e+00
7.560975583752296281e-01,-4.720134090996682685e-01,1.000000000000000000e+00
4.243971241801634542e-01,-9.752730410432565444e-02,1.000000000000000000e+00
